MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label
-211.80904,100.98999,19.580244,29.150085,-8.469731,1.2050695,-19.351604,-11.418967,-16.832483,-10.071862,-2.663026,-4.7862597,-7.549191,AndresCalzada
-296.98502,113.42928,6.085998,45.852634,-13.06737,16.40826,-18.100348,-5.329472,-17.428616,-8.938633,-16.851835,5.294287,-14.121896,AndresCalzada
-125.247314,62.008385,22.717709,16.145748,-1.125535,-4.278227,-12.390241,-11.901363,-14.491509,-9.475314,-0.677999,-5.7103157,-4.503604,AndresCalzada
-222.23328,110.66131,-6.835756,53.322666,-21.121214,27.163157,-29.038591,9.495079,-28.350325,-0.4047028,-25.328762,8.710523,-15.901995,AndresCalzada
-185.96785,57.685295,21.540583,14.876113,-1.6425422,-4.553245,-12.918058,-11.552648,-13.929735,-9.269846,-0.6030699,-5.077249,-3.1623673,AndresCalzada
-187.20074,72.45324,24.593168,24.412458,-1.668651,-2.2276514,-14.923583,-10.555043,-14.892035,-9.976114,1.1379212,-5.321271,-3.377886,AndresCalzada
-213.3791,113.79073,14.555385,31.010904,-8.843645,4.7507257,-20.252811,-8.629298,-18.008165,-10.002147,-4.0345044,-1.540979,-10.321104,AndresCalzada
-242.3625,135.58574,9.722073,37.897556,-8.652003,13.02489,-17.472168,-0.62941045,-16.05981,-8.195908,-6.3051624,10.996233,-12.680046,AndresCalzada
-93.11652,76.26204,30.654726,18.954058,0.612601,-1.4512769,-14.977851,-15.369287,-17.37313,-11.983609,-2.0216963,-2.9525578,-4.442001,AndresCalzada
-272.001,113.735535,20.614761,26.582928,-6.6224422,1.5916984,-32.845543,-6.801244,-16.163366,-5.4302855,3.805133,-7.8198357,-1.0645944,AndresCalzada
-181.81442,69.88726,15.630367,14.476518,-7.2331634,-0.27478886,-14.238576,-15.068497,-13.651752,-1.94352,-0.88634384,-5.6197777,-7.1359243,AndresCalzada
-201.41449,109.610085,16.594582,27.721794,-8.031065,2.1851912,-18.397287,-10.459545,-16.58112,-10.014256,-2.0014682,-3.9176352,-7.6118026,AndresCalzada
-211.51413,104.401306,20.667662,31.069841,-7.1456165,2.8232381,-18.003592,-10.084876,-15.614345,-8.747131,-1.3360336,-3.4660623,-6.1569805,AndresCalzada
-211.87727,103.45994,19.808964,30.38183,-7.8453507,1.9526122,-18.909342,-10.976293,-16.596695,-9.821763,-2.4389896,-4.638988,-7.3135414,AndresCalzada
-211.51413,104.401306,20.667662,31.069841,-7.1456165,2.8232381,-18.003592,-10.084876,-15.614345,-8.747131,-1.3360336,-3.4660623,-6.1569805,AndresCalzada
-201.41449,109.610085,16.594582,27.721794,-8.031065,2.1851912,-18.397287,-10.459545,-16.58112,-10.014256,-2.0014682,-3.9176352,-7.6118026,AndresCalzada
-208.10323,124.88085,17.491898,31.669518,-4.7987924,5.095844,-14.9390745,-6.7456083,-13.736041,-6.325942,2.5904698,1.8090256,-8.487529,AndresCalzada
-179.81468,125.78001,19.903189,35.750484,-13.0379715,10.218266,-23.917042,-10.822496,-21.697714,-12.291147,-0.6877055,-2.463446,-8.665074,AndresCalzada
-213.05385,119.5948,20.630035,34.19575,-7.611045,9.685279,-25.921177,-8.413537,-14.605044,-12.420917,1.0877181,-1.008937,-8.862161,AndresCalzada
-220.77986,112.57341,2.0678022,34.32636,1.999583,-2.41741,-23.636919,-4.8712764,-5.644926,-9.937006,-4.197045,-6.235437,0.53218925,ArathDaniela
-220.77986,112.57341,2.0678022,34.32636,1.999583,-2.41741,-23.636919,-4.8712764,-5.644926,-9.937006,-4.197045,-6.235437,0.53218925,ArathDaniela
-166.15367,68.37712,20.705135,24.20432,7.242502,-4.875663,-16.045925,-7.0284452,-2.9105887,-7.436019,-2.6131725,-4.4173245,0.08651946,ArathDaniela
-281.55908,76.207535,-16.620136,47.362053,-15.852321,31.257656,-28.782063,6.4414783,-22.257732,8.219058,-13.596898,5.697076,-5.0094714,ArathDaniela
-155.6421,60.568764,18.715626,21.771025,6.1900597,-5.8398204,-16.342339,-7.7018604,-3.7759206,-8.077451,-3.5702996,-5.352039,-1.0745001,ArathDaniela
-217.23384,108.890114,-1.968277,35.54356,-2.3962996,-2.5283804,-29.029503,-7.8517513,-4.204711,-8.968252,-1.7882221,-7.9813504,-0.2223052,ArathDaniela
-176.78856,58.9612,14.811307,22.257603,1.2027504,-8.040594,-21.862291,-3.1081252,-5.089531,-3.2144723,-5.5559154,-2.9516585,-2.8695226,ArathDaniela
-143.71768,51.965405,25.893824,18.835987,0.44642657,-9.934309,-10.514749,-4.3923507,-1.6351197,-2.0382066,-1.8652366,-1.3762206,2.260842,ArathDaniela
-225.6265,116.58538,15.081053,31.274805,-18.14805,-8.182569,-10.634198,-2.4442327,-14.73891,1.3981956,-3.074299,0.27536923,-3.081393,ArathDaniela
-156.86203,111.0652,8.304249,35.226288,-9.764503,-4.976617,-17.557955,2.1788032,-10.352205,-2.8709326,-7.2235103,-6.436507,-0.5595711,ArathDaniela
-144.74725,88.9454,9.675226,24.961712,-2.4305584,2.4140787,-28.051847,-0.7027505,-12.94968,3.4422464,-14.256391,4.2632527,-7.9764495,ArathDaniela
-219.40025,114.23289,3.640817,35.761086,3.4631264,-0.99746877,-22.278233,-3.547446,-4.3160963,-8.531243,-2.737482,-4.8347096,1.7866238,ArathDaniela
-219.2486,113.1423,3.1142762,34.90959,2.9065495,-1.8131665,-22.937029,-4.0448275,-4.7806644,-8.990282,-3.3551571,-5.344079,1.0614275,ArathDaniela
